movieId,title,genres,release_year,avg_rating,num_ratings,rating_std
247466,Money Heist: The Phenomenon (2020),Documentary,2020.0,4.65,10,0.412
102672,New York: A Documentary Film (1999),Documentary,1999.0,4.5,11,0.447
206212,Evaru (2019),Crime|Thriller,2019.0,4.45,10,0.725
279770,Kantara (2022),Action|Mystery|Thriller,2022.0,4.423,13,0.672
242210,James Acaster: Cold Lasagne Hate Myself 1999 (2020),Comedy,2020.0,4.421,19,0.479
223011,National Theatre Live: Fleabag (2019),Comedy,2019.0,4.406,16,0.584
138024,"Michael Jackson: Dangerous Tour (Bucharest, 1992) (1992)",(no genres listed),1992.0,4.4,10,0.775
171331,The Work of Director Chris Cunningham (2003),(no genres listed),2003.0,4.396,24,0.625
259833,Come From Away (2021),Comedy|Drama,2021.0,4.342,19,0.602
215615,Pink Floyd: Pulse (1995),Documentary,1995.0,4.318,11,0.751
203847,Kumbalangi Nights (2019),Comedy|Drama|Romance,2019.0,4.306,18,0.518
240686,Infinity Train (2016),Adventure|Animation,2016.0,4.3,10,0.632
278928,Pamfir (2022),Drama,2022.0,4.3,10,0.587
158294,Sillunu Oru Kaadhal (2006),Children|Romance,2006.0,4.25,10,0.858
198003,U.S. Go Home (1994),Drama,1994.0,4.25,10,0.677
256991,Adventure Time: Elements (2017),Adventure|Animation|Comedy|Fantasy,2017.0,4.25,12,0.892
263965,Downton Abbey: Christmas Special 2015 (2015),Children|Drama|Romance,2015.0,4.25,16,0.658
147124,The Roosevelts: An Intimate History (2014),Documentary,2014.0,4.239,46,0.999
244836,The Present (2020),Drama,2020.0,4.231,13,0.484
157278,The Sixties (2013),(no genres listed),2013.0,4.229,24,0.794
249180,Violet Evergarden: The Movie (2020),Animation|Drama|Fantasy|Romance,2020.0,4.22,25,0.663
239316,Can't Get You Out of My Head: An Emotional History of the Modern World (2021),Documentary,2021.0,4.213,47,0.649
172725,The Secret Life of Chaos (2010),Documentary,2010.0,4.208,12,0.811
189161,Born in the USSR: 21 Up (2005),(no genres listed),2005.0,4.208,12,0.838
122282,Pride and Prejudice (1980),Comedy|Drama|Romance,1980.0,4.207,58,0.732
126967,Letter from Siberia (1957),(no genres listed),1957.0,4.206,17,0.73
172719,Notre Dame de Paris (1998),Drama|Romance,1998.0,4.2,15,1.222
158970,Alone in the Wilderness Part II (2011),Documentary,2011.0,4.188,24,0.689
135492,Kaaka Muttai (2015),(no genres listed),2015.0,4.184,19,0.975
147825,For Some Inexplicable Reason (2014),Drama,2014.0,4.184,19,0.691
48647,"Last Bolshevik, The (Tombeau d'Alexandre, Le) (1993)",Documentary,1993.0,4.182,11,0.751
156601,The T.A.M.I. Show (1964),Documentary,1964.0,4.182,11,0.603
149306,Jimi Plays Monterey (1986),(no genres listed),1986.0,4.179,14,1.203
166465,"Thelonious Monk: Straight, No Chaser (1988)",Documentary,1988.0,4.179,14,0.723
135440,Edifício Master (2002),Documentary,2002.0,4.175,20,1.029
70722,"Good Men, Good Women (1995)",Drama|Romance,1995.0,4.167,12,0.615
102742,Tie Xi Qu: West of the Tracks (Tiexi qu) (2003),Documentary,2003.0,4.167,12,0.537
152185,Marie's Story (2014),Drama,2014.0,4.167,12,0.835
166629,Köyden İndim Şehire (1974),Comedy|Drama,1974.0,4.167,12,0.537
126947,Carriage to Vienna (1966),Drama|War,1966.0,4.167,15,0.748
171769,Isle of Flowers (1989),Documentary,1989.0,4.167,87,0.865
192953,Ghost in the Shell: Stand Alone Complex - Individual Eleven (2006),Animation|Sci-Fi,2006.0,4.16,50,0.889
98002,"Madrid, 1987 (2011)",Drama,2011.0,4.154,13,0.851
158827,All of My Heart (2015),Romance,2015.0,4.154,13,0.875
165059,Charles Darwin and the Tree of Life (2009),Documentary,2009.0,4.154,13,0.474
210111,Agent Sai Srinivasa Athreya (2019),Comedy|Crime|Mystery,2019.0,4.154,13,0.658
174703,I Am So Proud of You (2008),Action|Animation|Sci-Fi|Thriller,2008.0,4.152,99,0.957
86288,"Day the Universe Changed, The (1985)",Documentary,1985.0,4.15,10,0.709
98273,"Last Trapper, The (Le dernier trappeur) (2004)",Adventure|Documentary,2004.0,4.15,10,0.58
98996,Filming 'Othello' (1978),Documentary,1978.0,4.15,10,0.669
98241,Starry starry night (Xing kong) (2011),Children|Drama|Fantasy,2011.0,4.143,14,0.602
145753,Wodaabe: Herdsmen of the Sun (1989),Documentary,1989.0,4.143,14,0.663
183329,Cuba and the Cameraman (2017),Documentary,2017.0,4.143,28,0.559
283577,Past Lives (2023),Drama|Romance,2023.0,4.136,33,0.803
174551,Obsession (1965),Comedy,1965.0,4.134,56,0.956
156565,Amal (2007),Drama,2007.0,4.133,15,0.79
150900,Top Gear: The Worst Car In the History of the World (2012),(no genres listed),2012.0,4.132,19,0.684
188173,The Godfather Family: A Look Inside (1990),Action|Documentary|Drama,1990.0,4.13,23,0.92
207247,My Thoughts Are Silent (2019),Comedy,2019.0,4.13,23,0.932
90592,How to Die in Oregon (2011),Documentary|Drama,2011.0,4.13,73,0.764
181497,Laughter and Grief by the White Sea (1988),Animation|Comedy|Drama,1988.0,4.125,12,1.047
186275,Emilie Muller (1994),(no genres listed),1994.0,4.125,12,1.17
195529,Mushishi: The Shadow That Devours the Sun (2014),Adventure|Animation|Fantasy,2014.0,4.121,33,1.076
270366,The Beatles: Get Back - The Rooftop Concert (2022),Documentary,2022.0,4.12,25,0.845
151681,Blood Brother (2013),Documentary,2013.0,4.115,13,1.102
135541,Noodle (2007),Drama,2007.0,4.1,10,0.738
143335,"Deprisa, Deprisa (1981)",Crime|Drama,1981.0,4.1,10,0.907
157585,Anjali (1990),Children|Drama,1990.0,4.1,10,0.568
178353,Nothing But a Man (1964),Drama,1964.0,4.1,10,0.699
181365,Monty Python: Parrot Sketch Not Included (1989),Comedy,1989.0,4.1,10,0.81
273005,Rise (2022),Comedy|Drama,2022.0,4.1,10,0.615
165737,Accidentally Engaged (2016),Comedy|Romance,2016.0,4.1,15,1.004
64418,"Man Named Pearl, A (2006)",Documentary,2006.0,4.1,20,0.788
179915,1945 (2017),Drama,2017.0,4.1,25,0.559
174841,Pandora's Box (1992),Drama,1992.0,4.095,21,1.056
138908,The Pirates of Penzance (1980),Adventure|Comedy,1980.0,4.094,16,0.841
89985,"Trap: What Happened to Our Dream of Freedom, The (2007)",Documentary,2007.0,4.094,85,0.918
147833,Anthony Jeselnik: Caligula (2013),Comedy,2013.0,4.092,49,0.993
157577,Deiva Thirumagal (2011),Children|Drama,2011.0,4.091,11,0.889
158029,Prora (2012),Drama,2012.0,4.091,11,0.735
162382,Love's Unending Legacy (2007),Drama|Romance,2007.0,4.091,11,0.944
171385,Bizim Aile (1975),Children|Comedy|Drama,1975.0,4.091,11,0.375
201432,Jacquot de Nantes (1991),Drama,1991.0,4.091,11,0.491
208323,The Cave (2019),Documentary,2019.0,4.091,11,0.539
53226,"Great War, The (Grande guerra, La) (1959)",Action|Adventure|Comedy|Drama|War,1959.0,4.09,39,0.857
